_id,id,facility_name,num,street,city,state,zip,municipal,category_cd,description,p_code,fdo,bus_st_date,bus_cl_date,seat_count,noroom,sq_feet,status,placard_st,x,y,address
17312,2.01E+11,Aprimo Pizza,516,Brownsville Road,Pittsburgh,PA,15210,Mt. Oliver,211,Restaurant without Liquor,0,6/1/2009,6/1/2009,,0,,,1,1,-79.99001655,40.41159694,516 Brownsville Rd PA 15210
16328,2.01E+11,Mia Pizza,4901,Baum Boulevard,Pittsburgh,PA,15213,North Oakland,211,Restaurant without Liquor,0,9/1/2010,9/1/2010,,0,,,1,1,-79.94653429,40.4547131,4901 Baum Boulevard PA 15213
19729,2.02E+11,Pizza Hut #033986,4710,Baum Boulevard,Pittsburgh,PA,15213,North Oakland,212,Chain Restaurant without Liquor,1,9/5/2017,9/5/2017,,0,,,1,1,-79.94956987,40.45389782,4710 Baum Boulevard PA 15213
22575,2.02E+11,Pizza Pronto AKA Olive's Mediterranean Pizza & Gyro,4611,Centre Avenue,Pittsburgh,PA,15213,North Oakland,211,Restaurant without Liquor,1,8/16/2018,8/16/2018,,0,,,1,1,-79.95161574,40.45214299,4611 Centre Avenue PA 15213
24926,2.01E+11,Pizza Bellagio,4635,Centre Avenue,Pittsburgh,PA,15213,North Oakland,211,Restaurant without Liquor,0,4/27/2011,4/27/2011,,3,,,1,1,-79.95053316,40.45246124,4635 Centre Avenue PA 15213
25257,2.02E+11,Domino's Pizza,4631,Centre  Avenue,Pittsburgh,PA,15213,North Oakland,212,Chain Restaurant without Liquor,1,9/12/2019,9/12/2019,,14,,,1,1,-79.95066037,40.45241513,4631 Centre  Avenue PA 15213
14681,2.00E+11,Frank's Pizza & Chicken,1442,Lowrie Street,Pittsburgh,PA,15212,North Shore,211,Restaurant without Liquor,1,3/30/2004,3/30/2004,,0,,,1,1,-79.98521955,40.46129992,1442 Lowrie Street PA 15212
15985,2.01E+11,Riviera Pizza,1213,Spring Garden Avenue,Pittsburgh,PA,15212,North Shore,211,Restaurant without Liquor,1,7/13/2011,7/13/2011,,0,,,1,1,-79.99110471,40.46008433,1213 Spring Garden Avenue PA 15212
16956,2.01E+11,Ron's Pizza Palace,1535,Lowrie  Street,Pittsburgh,PA,15212,North Shore,211,Restaurant without Liquor,0,7/13/2010,7/13/2010,,0,,,1,1,-79.98391469,40.46201401,1535 Lowrie  Street PA 15212
20832,2.02E+11,Acrisure Stadium / 2.02.01 Caliente Pizza 151S,500,Art Rooney Avenue,Pittsburgh,PA,15212,North Shore,202,Chain Restaurant with Liquor,1,11/1/2015,11/1/2015,,0,,,1,1,,,500 Art Rooney Avenue PA 15212
22745,2.02E+11,Acrisure Stadium / Francos Pizza + Pub 33,120,Art Rooney  Avenue,Pittsburgh,PA,15212,North Shore,201,Restaurant with Liquor,1,11/1/2018,11/1/2018,,0,,,1,1,-80.01446405,40.44677763,120 Art Rooney  Avenue PA 15212
25200,2.02E+11,Badamo's Pizza ,1106,Federal Street,Pittsburgh,PA,15212,North Shore,212,Chain Restaurant without Liquor,1,12/26/2017,12/26/2017,,0,,,1,1,-80.00651625,40.45583619,1106 Federal Street PA 15212
39477,2.02E+11,Inferno Pizza,3053,Brighton Road,Pittsburgh,PA,15212,North Shore,211,Restaurant without Liquor,0,9/27/2023,9/27/2023,,0,,,1,1,-80.02890676,40.47354675,3053 Brighton Road PA 15212
22768,2.02E+11,Italian Village Pizza,4885,McKnight Road,Pittsburgh,PA,15237,North Shore,212,Chain Restaurant without Liquor,1,1/1/2019,1/1/2019,,26,,,1,1,-80.00963275,40.52992947,4885 McKnight Road PA 15237
22807,2.02E+11,Lupi's Famous Pizza,2311,Babcock Boulevard,Pittsburgh,PA,15237,North Shore,211,Restaurant without Liquor,1,1/18/2018,1/18/2018,,12,,,1,1,-80.00101356,40.51333953,2311 Babcock Boulevard PA 15237
24101,2.02E+11,Blaze Pizza #1355,8011-B,McKnight Road,Pittsburgh,PA,15237,North Shore,212,Chain Restaurant without Liquor,1,11/2/2018,11/2/2018,,56,,,1,1,-80.01981723,40.55147866,8011-B McKnight Road PA 15237
26898,2.02E+11,Villa Pizza / Green Leaf's / Bananas,1000,Ross Park Mall Drive,Pittsburgh,PA,15237,North Shore,212,Chain Restaurant without Liquor,1,9/3/2020,9/3/2020,,0,,,1,1,-80.00847176,40.5429008,1000  Ross Park Mall Drive PA 15237
32871,2.02E+11,Large Plain Pizza and Pints,1411,Duncan Avenue,Pittsburgh,PA,15237,North Shore,202,Chain Restaurant with Liquor,0,3/4/2022,,,44,,,1,1,-80.00709604,40.56759667,1411 Duncan Avenue PA 15237
36206,2.02E+11,Adrian's Pizza,605,Thompson Run Road,Pittsburgh,PA,15237,North Shore,211,Restaurant without Liquor,1,12/6/2022,12/6/2022,,40,,,1,1,-79.99087803,40.5391961,605 Thompson Run Road PA 15237
39726,2.02E+11,Domino's Pizza,3300A,Saw Mill Run  Boulevard,Pittsburgh,PA,15227,Overbrook,212,Chain Restaurant without Liquor,1,10/23/2023,10/23/2023,,0,,,1,1,-79.98366875,40.37532042,3300 Saw Mill Run  Boulevard PA 15227
33034,2.02E+11,Pizza Di Roma,2809,Brownsville  Road,Pittsburgh,PA,15227,Overbrook,211,Restaurant without Liquor,1,3/11/2022,3/11/2022,,6,,,1,1,-79.97693256,40.38341327,2809 Brownsville  Road PA 15227
29537,2.02E+11,Pizza Shack,3546,Saw Mill Run Boulevard,Pittsburgh,PA,15227,Overbrook,211,Restaurant without Liquor,1,5/28/2021,5/28/2021,,0,,,1,1,-79.9822356,40.37206238,3546 Saw Mill Run Boulevard PA 15227
24694,2.02E+11,La Bella Pizza & Gyro,3906A,Saw Mill Run Boulevard,Pittsburgh,PA,15227,Overbrook,211,Restaurant without Liquor,1,2/10/2020,2/10/2020,,8,,,1,1,-79.98295593,40.36945624,3906A Saw Mill Run Boulevard PA 15227
9685,2.00E+11,Italian Village Pizza,2713,Brownsville Rd,Pittsburgh,PA,15227,Overbrook,212,Chain Restaurant without Liquor,0,12/20/2001,12/20/2001,,20,,,1,1,-79.97734445,40.38411691,2713 Brownsville Rd PA 15227
21716,2.02E+11,Portofino's Pizza & Pasta,3307,Saw Mill Run Boulevard,Pittsburgh,PA,15227,Overbrook,212,Chain Restaurant without Liquor,0,12/19/2017,12/19/2017,,20,,,1,1,-79.98267613,40.37527686,3307 Saw Mill Run Boulevard PA 15227
37082,2.02E+11,The Pizza Company #6,3050,Churchview Avenue,Pittsburgh,PA,15227,Overbrook,211,Restaurant without Liquor,1,3/1/2023,3/1/2023,,0,,,1,1,-79.96767847,40.38558541,3050 Churchview Street PA 15227
22773,2.02E+11,Sunseri Pizza,2805,Custer Avenue,Pittsburgh,PA,15227,Overbrook,211,Restaurant without Liquor,1,12/10/2018,12/10/2018,,0,,,1,1,-79.97349161,40.39367614,2805 Custer Avenue PA 15227
1780,54465,Wise Guys Pizza,1223,Woods Run,Pittsburgh,PA,15212,Perry North,211,Restaurant without Liquor,0,11/2/1995,11/2/1995,,0,,,1,1,-80.03110932,40.47632719,1223 Woods Run PA 15212
8790,2.00E+11,Acrisure Stadium / 2.38.02-03 Little Caesars Pizza #130,500,Art Rooney Avenue,Pittsburgh,PA,15212,Perry North,201,Restaurant with Liquor,1,11/1/2001,11/1/2001,,0,,,1,1,,,500 Art Rooney Avenue PA 15212
8801,2.00E+11,Acrisure Stadium / 3.09.02-03 Caliente Pizza #206,500,Art Rooney Avenue,Pittsburgh,PA,15212,Perry North,201,Restaurant with Liquor,1,11/1/2001,11/1/2001,,0,,,1,1,,,500 Art Rooney Avenue PA 15212
5686,46805,J B Pizza,2513,Transport St,Pittsburgh,PA,15234,Pittsburgh-132,211,Restaurant without Liquor,1,1/4/1991,1/4/1991,,0,,,1,1,-79.997251,40.3822603,2513 Transport St PA 15234
1341,30663,Franco's Pizza,138,Unity Center Road,Pittsburgh,PA,15239,Plum,211,Restaurant without Liquor,1,1/1/1980,1/1/1980,,0,,,1,1,-79.78381777,40.49055878,138 Unity Center Rd PA 15239
9869,2.00E+11,Fox's Pizza Den of Plum,2374,Golden Mile Hwy / Rt 286,Pittsburgh,PA,15239,Plum,212,Chain Restaurant without Liquor,1,3/20/2001,3/20/2001,,36,,,1,1,-79.70469284,40.46281982,2374 Golden Mile Hwy / Rt 286 PA 15239
16898,2.01E+11,Bishop's Pizza #9,1811,Golden Mile Hwy,Pittsburgh,PA,15239,Plum,212,Chain Restaurant without Liquor,1,8/13/2009,8/13/2009,,0,,,1,1,-79.71450176,40.44727011,1811 Golden Mile Hwy PA 15239
19339,2.01E+11,Grandslam Pizza,417,Old Abers Creek  Road,Pittsburgh,PA,15239,Plum,212,Chain Restaurant without Liquor,1,10/31/2013,10/31/2013,,32,,,1,1,-79.70609312,40.46795477,417 Old Abers Creek  Road PA 15239
20604,2.02E+11,Stockman's Hometown Pizzaria,7678,Saltsburg Road,Pittsburgh,PA,15239,Plum,211,Restaurant without Liquor,1,4/9/2018,4/9/2018,,0,,,1,1,-79.7731325,40.47500675,7678 Saltsburg Road PA 15239
20071,2.02E+11,Pizza Hut #033978,2324,Ardmore Boulevard,Pittsburgh,PA,15221,Point Breeze,212,Chain Restaurant without Liquor,1,9/5/2017,9/5/2017,,0,,,1,1,-79.84837496,40.41627994,2324 Ardmore Boulevard PA 15221
20709,2.02E+11,Veltre's Pizza ,1268,Brinton Road,Pittsburgh,PA,15221,Point Breeze,212,Chain Restaurant without Liquor,0,3/1/2016,3/1/2016,,0,,,1,1,-79.86501061,40.4224676,1268 Brinton Road PA 15221
22486,2.01E+11,Park Pizza & Cream,7600,Forbes Avenue,Pittsburgh,PA,15221,Point Breeze,211,Restaurant without Liquor,0,10/22/2012,10/22/2012,,12,,,1,1,-79.89725903,40.43956261,7600 Forbes Avenue PA 15221
32425,2.02E+11,Papa John's Pizza #5146,258,Yost Boulevard,Pittsburgh,PA,15221,Point Breeze,211,Restaurant without Liquor,1,1/28/2022,1/28/2022,,0,,,1,1,-79.85551204,40.41425002,258 Yost Boulevard PA 15221
36736,2.02E+11,Domino's Pizza #4709,2600,Ardmore Boulevard,Pittsburgh,PA,15221,Point Breeze,212,Chain Restaurant without Liquor,1,1/31/2023,1/31/2023,,,,1800,1,1,-79.84579088,40.41349209,2600 Ardmore Boulevard PA 15221
39728,2.02E+11,"Layali Pizza, Fish and Chicken",2147B,Ardmore Boulevard,Pittsburgh,PA,15221,Point Breeze,211,Restaurant without Liquor,1,10/16/2023,10/16/2023,,0,,1500,1,1,-79.84856089,40.41820942,2147 Ardmore PA 15221
39465,2.02E+11,Vocelli Pizza,2101,Greentree Road,Pittsburgh,PA,15220,Point Breeze North,212,Chain Restaurant without Liquor,1,9/26/2023,9/26/2023,,,,,1,1,-80.07081933,40.3907701,2101 Greentree Road PA 15220
39889,2.02E+11,Pizza Bella Monte,410,Main Street,Pittsburgh,PA,15220,Point Breeze North,211,Restaurant without Liquor,1,11/17/2023,11/17/2023,,12,,,1,1,-80.03338971,40.44165905,410 Main Street PA 15220
25316,2.01E+11,Genoa Pizza & Bar,111,Market  Street,Pittsburgh,PA,15222,Polish Hill,201,Restaurant with Liquor,1,10/7/2008,10/7/2008,,103,,,1,1,-80.00395693,40.43894071,111 Market  Street PA 15222
25376,2.02E+11,Iron Born Pizza - Strip District ,1806,Smallman Street,Pittsburgh,PA,15222,Polish Hill,202,Chain Restaurant with Liquor,1,12/10/2019,12/10/2019,,42,,,1,1,-79.98524334,40.45107896,1806 Smallman Street PA 15222
33614,2.02E+11,Pizza Bari,955,Liberty Avenue,Pittsburgh,PA,15222,Polish Hill,211,Restaurant without Liquor,1,5/9/2022,5/9/2022,,36,,,1,1,-79.99611002,40.44369435,955 Liberty Avenue PA 15222
11601,2.00E+11,Alex's Corner Pizza Shop,4902,Cypress Street,Pittsburgh,PA,15224,Polish Hill,211,Restaurant without Liquor,1,3/10/2003,3/10/2003,,0,,,1,1,-79.94709269,40.4585703,4902 Cypress Street PA 15224
15796,2.01E+11,Spak Brothers Pizza & More,5107,Penn  Avenue,Pittsburgh,PA,15224,Polish Hill,211,Restaurant without Liquor,1,7/21/2008,7/21/2008,,0,,,1,1,-79.94253814,40.46509466,5107 Penn  Avenue PA 15224
20553,2.02E+11,Vocelli Pizza ,2011,Waverly Road,Pittsburgh,PA,15218,Regent Square,212,Chain Restaurant without Liquor,1,2/27/2018,2/27/2018,,0,,,1,1,-79.88629769,40.42190899,2011 Waverly Road PA 15218
22804,2.02E+11,Joe & Pie / Pizza Couriers,1621,Braddock  Avenue,Pittsburgh,PA,15218,Regent Square,212,Chain Restaurant without Liquor,1,8/22/2016,8/22/2016,,51,,,1,1,-79.88772323,40.42693395,1621 Braddock  Avenue PA 15218
8129,45677,Highland Park Zoo / Swahili Pizza and Ice Cream,1,Wild  Place,Pittsburgh,PA,15206,Shadyside,211,Restaurant without Liquor,1,6/1/1990,6/1/1990,,30,,,1,1,,,1 Wild  Place PA 15206
11938,2.01E+11,Giovanni's Pizza & Pasta,3047,West Liberty  Avenue,Pittsburgh,PA,15216,South Hills,201,Restaurant with Liquor,1,7/16/2007,7/16/2007,,50,,,1,1,-80.03775111,40.3921433,3047 West Liberty  Avenue PA 15216
20210,2.02E+11,Jet's Pizza #399,1810,Dormont Avenue,Pittsburgh,PA,15216,South Hills,212,Chain Restaurant without Liquor,1,1/29/2015,1/29/2015,,0,,,1,1,-80.04430936,40.3984806,1810 Dormont Avenue PA 15216
34432,2.02E+11,Mollyâ€™s Pizza,1525,Potomac Avenue,Pittsburgh,PA,15216,South Hills,211,Restaurant without Liquor,1,7/19/2022,7/19/2022,,8,,,1,1,-80.03591431,40.39696884,1525 Potomac Avenue PA 15216
36928,2.02E+11,Dormont Diner Pizza & Chicken,2885,West Liberty Avenue,Pittsburgh,PA,15216,South Hills,211,Restaurant without Liquor,1,2/9/2023,2/9/2023,,12,,,1,1,-80.03380114,40.39514017,2885 Liberty Avenue PA 15216
38653,2.02E+11,Badamo's Pizza,1509,Potomac Avenue,Pittsburgh,PA,15216,South Hills,212,Chain Restaurant without Liquor,1,6/29/2023,6/29/2023,,0,,,1,1,-80.0357004,40.39664538,1509 Potomac Avenue PA 15216
39464,2.02E+11,Vocelli Pizza,3060,West Liberty Avenue,Pittsburgh,PA,15216,South Hills,212,Chain Restaurant without Liquor,1,9/26/2023,9/26/2023,,0,,,1,1,-80.0383146,40.39202845,3060 West Liberty Avenue PA 15216
10264,56677,Antoon's Pizza Shop,247,Atwood St,Pittsburgh,PA,15213,South Oakland,211,Restaurant without Liquor,1,8/4/1997,8/4/1997,,0,,,1,1,-79.95616779,40.44014468,247 Atwood St PA 15213
20947,2.01E+11,Larry & Carol's Pizza,410,Semple Street,Pittsburgh,PA,15213,South Oakland,211,Restaurant without Liquor,1,9/17/2014,9/17/2014,,0,,,1,1,-79.95483513,40.43677735,410 Semple Street PA 15213
34462,2.02E+11,Pizza Romano,219,Atwood Street,Pittsburgh,PA,15213,South Oakland,211,Restaurant without Liquor,1,7/19/2022,7/19/2022,,0,,,1,1,-79.95693719,40.44067579,219 Atwood Street PA 15213
22263,2.02E+11,Domino's Pizza #4418,1001,Carson Street,Pittsburgh,PA,15203,South Side Slopes,212,Chain Restaurant without Liquor,1,3/4/2019,3/4/2019,,20,,,1,1,-79.98843048,40.42890263,1001 Carson Street PA 15203
22932,2.02E+11,Michael's Pizza Bar,2612,Sarah Street,Pittsburgh,PA,15203,South Side Slopes,201,Restaurant with Liquor,0,5/29/2019,5/29/2019,,41,,,1,1,-79.96824223,40.42625368,2612 Sarah Street PA 15203
15759,2.01E+11,Pizza Bellino,5839,Forbes Avenue,Pittsburgh,PA,15217,Squirrel Hill North,211,Restaurant without Liquor,0,11/28/2009,11/28/2009,,30,,,1,1,-79.92142586,40.43824148,5839 Forbes Avenue PA 15217
19848,2.02E+11,"Pastoli's Pizza, Pasta & Paisans",1900,Murray Avenue,Pittsburgh,PA,15217,Squirrel Hill North,201,Restaurant with Liquor,1,7/27/2015,7/27/2015,,38,,,1,1,-79.92306795,40.43587962,1900 Murray Avenue PA 15217
20344,2.02E+11,Napoli Pizzaria ,2006,Murray Avenue,Pittsburgh,PA,15217,Squirrel Hill North,201,Restaurant with Liquor,1,1/28/2015,1/28/2015,,30,,,1,1,-79.9230291,40.43442086,2006 Murray Avenue PA 15217
38344,2.02E+11,Pizza Hut #040122,822,Hazelwood Avenue,Pittsburgh,PA,15217,Squirrel Hill North,212,Chain Restaurant without Liquor,1,5/16/2023,5/16/2023,,0,,,1,1,-79.92802086,40.4191786,822 Hazelwood Avenue PA 15217
299,11724,Aiello's Pizza,2112,Murray Avenue,Pittsburgh,PA,15217,Squirrel Hill South,201,Restaurant with Liquor,1,4/5/1978,4/5/1978,,36,,,1,1,-79.92324832,40.43326852,2112 Murray Avenue PA 15217
3199,8259,Mineo's Pizza House ,2124-2128,Murray Avenue,Pittsburgh,PA,15217,Squirrel Hill South,202,Chain Restaurant with Liquor,1,9/13/1958,9/13/1958,,97,,,1,1,-79.92306588,40.43301886,2124 Murray Avenue PA 15217
5066,52781,Vocelli Pizza,4235,Murray Avenue,Pittsburgh,PA,15217,Squirrel Hill South,212,Chain Restaurant without Liquor,1,9/30/1994,9/30/1994,,0,,,1,1,-79.92864634,40.4221933,4235 Murray Avenue PA 15217
4359,57500,Vocelli Pizza #104,691,Clairton Blvd,Pittsburgh,PA,15236,St. Clair,212,Chain Restaurant without Liquor,1,7/9/1998,7/9/1998,,0,,,1,1,-79.94462778,40.32903343,691 Clairton Blvd PA 15236
11356,2.00E+11,The Pizza Company #4,5200,Brownsville Road,Pittsburgh,PA,15236,St. Clair,212,Chain Restaurant without Liquor,1,8/14/2003,8/14/2003,,40,,,1,1,-79.98563169,40.34323061,5200 Brownsville Rd PA 15236
12758,2.01E+11,Italian Village Pizza / Shake Shop,580,Old Clairton Rd,Pittsburgh,PA,15236,St. Clair,212,Chain Restaurant without Liquor,1,4/7/2006,4/7/2006,,50,,,1,1,-79.95693076,40.32585239,580 Old Clairton Rd PA 15236
13879,2.01E+11,Donte's Pizza,6409,Brownsville Road,Pittsburgh,PA,15236,St. Clair,211,Restaurant without Liquor,1,5/10/2006,5/10/2006,,40,,,1,1,-79.9949695,40.32152617,6409 Brownsville Road PA 15236
16757,2.01E+11,Little Caesars Pizza #145,,Caste Village Shopping Ctr #140,Pittsburgh,PA,15236,St. Clair,212,Chain Restaurant without Liquor,0,9/29/2009,9/29/2009,,0,,,1,1,,,Caste Village Shopping Ctr #140 PA 15236
25215,2.02E+11,Mm! Mm! Pizza,5001,Curry Road,Pittsburgh,PA,15236,St. Clair,212,Chain Restaurant without Liquor,1,2/19/2020,2/19/2020,,0,,,1,1,-79.99529196,40.34899429,5001 Curry Road PA 15236
32308,2.02E+11,Wood Stoked BBQ / Stone Craft Pizza,109,Curry Hollow Road,Pittsburgh,PA,15236,St. Clair,211,Restaurant without Liquor,1,1/13/2022,1/13/2022,,0,,,1,1,-79.96741715,40.3397586,109 Curry Hollow Road PA 15236
3711,55873,Ardolino's Pizza,1141,Boyce Road,Pittsburgh,PA,15241,St. Clair,211,Restaurant without Liquor,1,10/3/1996,10/3/1996,,10,,,1,1,-80.10973414,40.31792014,1141 Boyce Road PA 15241
19382,2.01E+11,"Target #2787 / Cafe, Starbucks, Pizza Hut ",201,South Hills Village,Pittsburgh,PA,15241,St. Clair,212,Chain Restaurant without Liquor,1,2/7/2013,2/7/2013,,34,,,1,1,-80.05760887,40.34385059,201 South Hills Village PA 15241
20689,2.02E+11,Toss Pizza & Wings,145,McMurray  Road,Pittsburgh,PA,15241,St. Clair,211,Restaurant without Liquor,1,4/24/2018,4/24/2018,,8,,,1,1,-80.06518902,40.32600029,145 McMurray  Road PA 15241
34075,2.02E+11,The Pizza Company,1790,Highland Road,Pittsburgh,PA,15241,St. Clair,212,Chain Restaurant without Liquor,1,6/28/2022,6/28/2022,,0,,,1,1,-80.0523207,40.3491207,1790 Highland Road PA 15241
15991,2.01E+11,Vocelli Pizza,1019,Mt Royal Boulevard,Pittsburgh,PA,15223,Stanton Heights,212,Chain Restaurant without Liquor,1,4/28/2010,4/28/2010,,0,,,1,1,-79.95933917,40.51727206,1019 Mt Royal Boulevard PA 15223
19031,2.01E+11,Pizza Care ,1525,5th  Avenue,Pittsburgh,PA,15219,Strip District,211,Restaurant without Liquor,1,2/27/2014,2/27/2014,,30,,,1,1,-79.98435284,40.43868823,1525 5th  Avenue PA 15219
13113,2.01E+11,Giovanni's Pizza & Pasta,123,6th Street,Pittsburgh,PA,15222,Terrace Village,211,Restaurant without Liquor,0,1/11/2007,1/11/2007,,28,,,1,1,-80.00221643,40.44347158,123 6th Street PA 15222
17293,2.01E+11, Pizzaiolo Primo,8,Market  Square,Pittsburgh,PA,15222,Troy Hill,202,Chain Restaurant with Liquor,1,3/6/2013,3/6/2013,,68,,,1,1,-80.00216828,40.44032912,8 Market  Square PA 15222
18243,2.01E+11,Pizza Parma,963,Liberty Avenue,Pittsburgh,PA,15222,Troy Hill,201,Restaurant with Liquor,1,9/13/2012,9/13/2012,,50,,,1,1,-79.99582132,40.44377617,963 Liberty Avenue PA 15222
